size time
40616 1.53
38424 1.375
46392 1.75
82880 3.527
37016 1.26
62320 2.719
153624 8.547
41168 1.544
51576 2.054
74064 3.179
74648 3.24
53512 2.295
40112 1.469
57848 2.528
43112 1.602
54080 2.436
59336 3.212
59336 3.267
66632 3.879
66632 3.874
65224 2.684
61544 2.553
38992 1.43
130472 6.544
82312 3.698
86712 4.033
81264 3.567
80232 3.448
47912 1.849
36608 1.354
116520 6.381
79352 3.325
40832 1.436
44632 1.705
65672 2.752
73880 3.072
56272 2.203
35672 1.311
63360 2.679
42576 1.609
36608 1.337
38720 1.416
41472 1.544
51512 1.939
36800 1.288
50600 2.102
39032 1.402
133792 6.513
50912 1.917
63688 2.638
37016 1.358
36800 1.342
57352 2.393
53736 2.173
46472 1.853
72296 3.283
82392 3.649
86296 3.905
81704 3.857
87472 4.08
51704 2.109
48880 1.94
53920 2.119
146104 7.446
162416 9.887
68320 2.983
85152 3.879
83424 3.705
130160 6.997
151112 7.897
57352 2.236
45680 1.829
143728 7.575
48176 1.869
46320 1.865
49344 2.022
151808 9.148
119880 5.826
43960 1.702
58248 2.413
50128 2.032
67216 3.128
148936 8.008
49056 2.009
57792 2.364
44808 1.722
53544 2.184
67784 2.905
50144 1.951
45088 1.83
79992 3.454
44976 1.778
151112 7.94
22240 0.442
58312 2.642
71624 3.259
48592 1.891
53032 2.238
59224 2.397
138896 7.019
49368 2.029
153472 9.231
49464 1.944
48808 1.948
89344 4.212
89912 3.959
48904 2.047
46616 1.883
54680 2.236
90992 4.295
45208 1.832
71408 3.354
183056 11.398
49544 2.035
63336 2.588
86624 3.84
86752 3.872
61800 2.76
48400 1.83
66136 3.018
50984 2.06
62320 2.918
68312 3.89
68312 3.831
74872 4.398
74872 4.373
76760 3.37
73072 3.163
47280 1.907
150744 8.239
90512 4.184
98136 4.698
89552 4.12
88256 3.873
58136 2.607
44800 1.801
145624 8.785
90680 4.208
49160 1.957
52808 2.167
74024 3.221
84040 3.814
67008 2.677
43960 1.726
71648 3.201
51664 2.162
44832 1.83
46912 1.84
49696 2.028
59824 2.461
44992 1.759
58680 2.525
48952 1.934
151120 8.085
59200 2.384
71888 3.245
45240 1.89
45024 1.805
43616 1.659
39784 1.479
33912 1.221
51904 1.904
63120 2.459
62856 2.443
59296 2.435
66560 2.61
38120 1.377
36968 1.173
39784 1.331
107816 4.704
106928 5.399
49016 1.831
64744 2.531
63608 2.467
92368 4.205
110432 4.775
42704 1.441
33056 1.146
101064 4.454
33440 1.231
33976 1.123
37392 1.283
98440 5.072
91840 3.835
32040 1.104
42416 1.515
37360 1.288
46992 1.838
116312 5.283
35344 1.197
42400 1.575
32464 1.104
38296 1.407
48696 1.819
37480 1.338
32744 1.201
60056 2.227
32584 1.186
110424 4.639
21304 0.404
43976 1.825
52696 2.251
34640 1.22
38200 1.443
44760 1.619
107256 4.714
36776 1.219
101904 5.008
37184 1.206
34928 1.202
65816 2.756
66688 2.78
35448 1.232
34368 1.223
42816 1.453
66944 2.552
32800 1.128
50768 2.188
121464 6.369
37320 1.219
44608 1.614
57888 2.269
63904 2.54
45888 1.854
