Total Decode Datalog Size
0.768 0.210 0.245 22632
0.519 0.138 0.155 18504
0.564 0.153 0.164 18504
0.835 0.219 0.270 22600
0.473 0.119 0.138 15208
0.925 0.265 0.295 26456
0.543 0.143 0.157 18264
0.714 0.190 0.231 22360
0.758 0.191 0.245 22360
0.522 0.136 0.159 18264
0.847 0.240 0.255 26784
0.493 0.136 0.144 18592
0.501 0.133 0.142 18592
0.649 0.172 0.206 22688
0.403 0.104 0.111 18592
0.789 0.213 0.251 23200
0.474 0.130 0.143 16512
0.490 0.134 0.140 16896
0.617 0.161 0.183 18912
0.375 0.102 0.109 14720
0.998 0.280 0.315 26768
0.450 0.131 0.127 18576
0.633 0.169 0.203 22672
0.637 0.174 0.201 22672
0.449 0.120 0.128 18576
1.569 0.439 0.593 43240
1.022 0.291 0.365 35048
1.069 0.307 0.334 35048
1.264 0.361 0.424 39144
0.867 0.242 0.278 30952
1.473 0.408 0.528 39688
1.016 0.286 0.327 31176
1.155 0.310 0.369 32872
1.204 0.339 0.381 35272
0.851 0.237 0.277 27080
1.727 0.511 0.586 47304
1.057 0.306 0.332 35016
1.200 0.346 0.385 35016
1.335 0.379 0.438 39112
1.024 0.281 0.336 30920
0.626 0.181 0.194 22504
0.422 0.108 0.110 18280
0.451 0.116 0.128 18280
0.590 0.157 0.184 18280
0.352 0.090 0.091 14184
0.626 0.167 0.193 19016
0.389 0.104 0.103 14408
0.427 0.117 0.118 14984
0.555 0.152 0.173 17000
0.354 0.088 0.092 12776
0.787 0.220 0.245 22472
0.416 0.113 0.113 18264
0.561 0.150 0.168 18264
0.572 0.156 0.175 18264
0.394 0.104 0.110 14168
0.695 0.185 0.207 22536
0.424 0.113 0.117 18280
0.475 0.126 0.136 18280
0.863 0.225 0.310 26472
0.405 0.098 0.099 18280
0.663 0.177 0.202 20328
0.404 0.111 0.111 15336
0.487 0.128 0.128 16424
0.592 0.159 0.180 18536
0.355 0.095 0.096 14408
0.804 0.231 0.251 26616
0.470 0.123 0.127 18264
0.596 0.159 0.180 18264
0.626 0.167 0.199 22360
0.434 0.112 0.118 18264
0.961 0.273 0.306 30600
0.641 0.177 0.199 22408
0.702 0.195 0.204 26504
1.047 0.281 0.349 30600
0.535 0.144 0.158 22408
0.935 0.265 0.306 28072
0.614 0.173 0.183 21000
0.672 0.189 0.201 22632
0.966 0.268 0.305 27144
0.530 0.137 0.155 18536
1.195 0.338 0.359 34664
0.652 0.179 0.187 22376
0.924 0.246 0.281 26472
0.940 0.260 0.303 26472
0.645 0.180 0.201 22376
0.814 0.241 0.260 26792
0.498 0.137 0.146 18600
0.554 0.151 0.163 22696
0.747 0.196 0.244 22696
0.426 0.110 0.118 18600
0.788 0.212 0.258 24040
0.484 0.133 0.141 17224
0.561 0.152 0.160 18824
0.675 0.178 0.210 20360
0.419 0.109 0.119 15432
0.926 0.271 0.318 30856
0.553 0.148 0.153 18568
0.638 0.176 0.208 22664
0.678 0.180 0.211 22664
0.495 0.134 0.146 18568
1.019 0.306 0.343 30568
0.657 0.187 0.209 26472
0.795 0.211 0.238 26472
1.060 0.282 0.350 30568
0.564 0.154 0.175 22376
1.038 0.284 0.350 29544
0.635 0.182 0.193 22600
0.782 0.211 0.223 24712
1.040 0.280 0.317 29256
0.561 0.150 0.166 19656
1.280 0.371 0.401 34648
0.710 0.195 0.204 26456
0.907 0.249 0.300 26456
0.974 0.254 0.310 30552
0.659 0.181 0.205 22360
0.879 0.242 0.274 34464
0.584 0.164 0.172 26264
0.662 0.175 0.184 30360
0.970 0.259 0.304 34456
0.536 0.136 0.154 26264
0.887 0.240 0.273 30752
0.621 0.160 0.178 26488
0.651 0.176 0.188 26488
0.894 0.248 0.279 31448
0.522 0.136 0.145 23192
1.094 0.319 0.338 38464
0.662 0.180 0.198 26176
0.874 0.230 0.277 30272
0.903 0.243 0.274 30272
0.598 0.162 0.182 26176
1.014 0.287 0.323 35240
0.700 0.188 0.195 31080
0.753 0.201 0.222 31080
0.975 0.257 0.292 35176
0.604 0.164 0.170 26984
1.048 0.282 0.322 35464
0.665 0.183 0.190 27208
0.708 0.204 0.210 28392
0.923 0.249 0.280 31880
0.572 0.163 0.166 25224
1.255 0.367 0.384 42824
0.743 0.203 0.217 30488
0.946 0.246 0.286 30488
0.936 0.253 0.297 34584
0.672 0.184 0.202 26392
0.791 0.244 0.255 26488
0.519 0.137 0.144 18296
0.561 0.149 0.157 22392
0.896 0.236 0.295 26488
0.438 0.111 0.125 18296
0.771 0.218 0.253 23992
