Total Decode Datalog Size
1.091 0.268 0.399 35592
1.763 0.382 0.782 43816
0.788 0.184 0.282 27304
0.887 0.217 0.321 31432
1.067 0.252 0.377 35624
3.808 0.793 1.740 89232
0.804 0.196 0.289 27304
3.820 0.900 1.597 89000
0.801 0.191 0.294 31400
0.771 0.187 0.288 27304
2.100 0.471 0.893 56136
2.148 0.472 0.916 56136
0.811 0.194 0.294 27304
0.773 0.182 0.278 27304
0.927 0.217 0.327 31592
1.752 0.434 0.612 52104
0.726 0.168 0.266 27272
1.735 0.363 0.767 43720
5.283 1.231 2.216 109544
0.815 0.192 0.294 31464
1.081 0.263 0.394 35528
1.830 0.465 0.690 52040
1.741 0.430 0.635 52040
1.486 0.311 0.685 35528
0.740 0.183 0.272 27272
1.691 0.352 0.747 39624
0.833 0.204 0.300 31464
1.181 0.304 0.458 39688
1.494 0.398 0.534 43784
1.518 0.396 0.535 43784
1.673 0.470 0.627 51976
1.718 0.462 0.626 51976
1.437 0.362 0.545 48016
1.328 0.331 0.480 43848
0.766 0.182 0.279 27304
3.334 0.816 1.262 89576
2.104 0.538 0.757 60792
2.351 0.525 1.003 60360
2.332 0.536 1.015 56136
2.293 0.440 0.976 60168
1.007 0.232 0.393 31472
0.691 0.169 0.255 27272
3.735 0.914 1.566 84776
1.814 0.471 0.666 56200
0.785 0.187 0.277 27336
0.931 0.222 0.327 31432
1.600 0.403 0.593 48504
1.717 0.408 0.656 52136
1.230 0.291 0.458 39624
0.711 0.160 0.252 27272
1.594 0.401 0.582 43784
0.877 0.211 0.310 31400
0.705 0.165 0.251 27304
0.754 0.172 0.264 27304
0.814 0.191 0.299 31464
1.027 0.253 0.365 35592
0.710 0.168 0.261 27272
1.074 0.265 0.372 35624
0.749 0.175 0.277 27336
3.258 0.783 1.196 89640
1.024 0.255 0.357 35624
1.732 0.370 0.770 43848
0.736 0.173 0.258 27304
0.722 0.168 0.257 27272
1.469 0.385 0.462 45256
1.181 0.314 0.391 40008
0.899 0.228 0.287 31752
1.672 0.446 0.559 52456
2.493 0.665 0.913 69736
2.582 0.648 0.880 68808
2.351 0.609 0.852 64744
2.531 0.640 0.926 69824
1.077 0.280 0.342 35968
0.996 0.243 0.295 33352
1.199 0.311 0.443 37800
5.097 1.271 1.930 126504
7.551 1.817 3.112 150824
1.610 0.445 0.544 50120
2.630 0.709 0.947 77000
2.128 0.571 0.702 64784
5.597 1.240 2.558 114616
4.884 1.244 1.736 128520
1.145 0.295 0.394 40872
0.861 0.223 0.282 30024
4.712 1.216 1.771 118568
0.903 0.236 0.287 31752
0.874 0.234 0.284 31784
0.964 0.254 0.310 33160
6.906 1.681 2.896 139112
6.944 1.053 2.815 109960
0.823 0.212 0.259 28648
1.197 0.325 0.397 40008
0.981 0.266 0.323 34088
1.604 0.421 0.548 48232
6.843 1.494 3.200 142992
0.975 0.256 0.320 33352
1.333 0.357 0.445 44136
0.812 0.222 0.265 29416
1.133 0.303 0.377 38056
1.545 0.408 0.513 48264
1.004 0.263 0.324 36336
0.848 0.226 0.281 29896
2.112 0.566 0.711 61936
0.832 0.223 0.267 29576
4.904 1.251 1.756 128520
0.214 0.049 0.054 8456
1.505 0.378 0.536 44392
3.149 0.633 1.624 64648
0.975 0.255 0.322 33640
1.147 0.304 0.391 37896
1.444 0.376 0.510 44840
5.140 1.269 2.050 122384
0.947 0.253 0.314 33064
6.970 1.659 2.904 139016
1.032 0.261 0.324 33896
0.921 0.239 0.309 32424
3.700 0.771 1.837 78152
3.763 0.780 1.817 81064
1.036 0.265 0.339 33416
0.927 0.244 0.305 32136
1.123 0.300 0.372 38152
2.457 0.643 0.839 70472
0.853 0.225 0.279 29992
3.112 0.620 1.615 62664
8.339 2.018 3.490 164904
0.969 0.255 0.318 34088
1.485 0.380 0.492 44904
2.192 0.594 0.746 64712
2.465 0.654 0.877 68808
2.764 0.538 1.500 54344
0.982 0.247 0.316 33832
2.988 0.600 1.582 60488
1.059 0.282 0.345 36008
1.658 0.421 0.620 48264
2.147 0.526 0.846 56456
2.189 0.542 0.844 56456
2.781 0.708 1.188 68936
2.809 0.723 1.194 68936
1.988 0.519 0.698 60656
1.913 0.525 0.679 56744
0.897 0.248 0.296 31752
5.375 1.273 2.129 126856
2.522 0.673 0.856 69776
4.370 0.914 2.125 93512
3.650 0.760 1.808 77000
4.098 0.734 1.887 81384
1.248 0.330 0.424 40048
0.825 0.220 0.265 29384
6.881 1.673 2.859 135112
2.857 0.728 1.046 77032
0.945 0.253 0.314 32552
1.327 0.339 0.428 41768
1.718 0.463 0.567 52976
2.476 0.659 0.858 70216
1.626 0.423 0.548 52296
0.804 0.216 0.258 28648
1.711 0.469 0.560 52360
1.100 0.290 0.376 35880
0.840 0.218 0.266 29480
0.868 0.230 0.283 31784
1.020 0.266 0.325 33928
1.277 0.338 0.412 42216
0.834 0.222 0.276 29672
1.492 0.398 0.518 44872
0.914 0.234 0.300 31816
4.813 1.249 1.765 128520
1.350 0.359 0.425 44200
3.115 0.618 1.592 62376
0.858 0.227 0.279 29800
0.826 0.222 0.267 29640
1.086 0.284 0.338 39936
0.980 0.247 0.290 35840
0.749 0.186 0.222 29152
1.690 0.450 0.557 52384
1.771 0.458 0.582 56416
1.807 0.471 0.620 57344
1.740 0.465 0.568 54080
1.896 0.494 0.635 60576
0.879 0.233 0.270 33504
0.848 0.199 0.232 31712
0.888 0.243 0.286 35808
4.260 1.027 1.734 111008
4.681 1.173 1.793 109792
1.275 0.343 0.411 44064
1.999 0.523 0.686 64640
1.757 0.464 0.564 57168
4.003 0.999 1.611 98352
3.841 0.949 1.384 106400
1.075 0.303 0.286 38304
0.733 0.188 0.216 28384
3.849 1.030 1.353 104704
0.763 0.202 0.234 29984
0.743 0.190 0.230 29088
0.840 0.293 0.242 31776
4.278 1.073 1.630 101536
7.724 0.878 1.951 97600
0.748 0.178 0.203 27584
1.046 0.272 0.319 36384
0.865 0.218 0.248 31744
1.642 0.559 0.523 48224
5.017 1.155 2.216 118352
0.792 0.207 0.239 31744
1.131 0.300 0.347 39968
0.759 0.183 0.340 27744
0.890 0.241 0.280 33568
1.279 0.339 0.390 44096
0.887 0.224 0.262 32464
0.735 0.188 0.241 28096
1.657 0.423 0.517 53168
0.751 0.184 0.220 27872
3.793 0.932 1.383 106400
0.182 0.039 0.042 7664
1.179 0.306 0.382 40000
2.106 0.554 0.848 53312
0.809 0.205 0.241 31712
0.921 0.240 0.281 34080
1.103 0.285 0.353 40032
4.004 0.973 1.597 101840
0.840 0.339 0.240 31744
4.372 1.069 1.652 101664
0.854 0.217 0.250 31776
0.787 0.202 0.232 31744
2.620 0.638 1.014 68832
2.568 0.618 1.019 68832
0.857 0.221 0.266 31712
0.764 0.270 0.235 29696
0.982 0.249 0.300 36000
2.078 0.528 0.698 64704
0.730 0.185 0.247 28192
2.130 0.498 0.868 54176
5.995 1.465 2.403 128224
0.837 0.210 0.245 31776
1.110 0.293 0.367 39936
1.973 0.530 0.663 60544
1.837 0.485 0.660 57696
1.814 0.416 0.755 46080
0.806 0.201 0.251 31712
1.976 0.545 0.824 50176
0.894 0.222 0.258 33088
1.309 0.353 0.421 42432
1.580 0.442 0.513 48448
1.568 0.430 0.517 48448
1.822 0.519 0.600 54368
1.836 0.519 0.607 54368
1.574 0.413 0.530 52432
1.396 0.432 0.463 48256
0.793 0.199 0.228 29632
3.828 0.959 1.396 102176
2.329 0.632 0.778 67312
2.928 0.690 1.293 74944
2.739 0.670 1.105 68736
2.695 0.569 1.035 70560
1.062 0.269 0.335 36400
0.732 0.184 0.215 27712
4.268 1.055 1.605 97376
2.048 0.545 0.698 62624
0.840 0.205 0.237 31744
1.029 0.255 0.305 35840
1.712 0.460 0.547 52944
1.887 0.506 0.621 60640
1.333 0.341 0.444 44192
0.698 0.177 0.210 27584
1.645 0.461 0.549 52320
0.912 0.237 0.281 32544
0.714 0.182 0.218 27744
0.739 0.195 0.233 29696
0.877 0.224 0.259 31776
1.159 0.285 0.351 40000
0.748 0.184 0.212 27968
1.227 0.311 0.388 40032
0.781 0.201 0.228 29568
3.771 0.947 1.358 106400
1.094 0.283 0.330 40032
2.025 0.470 0.908 53504
0.723 0.187 0.212 28064
0.730 0.188 0.214 27872
1.161 0.285 0.365 39936
1.073 0.261 0.327 36256
0.789 0.197 0.247 29600
1.674 0.445 0.557 52384
1.868 0.472 0.603 57120
2.024 0.497 0.659 60704
1.883 0.487 0.621 56416
2.070 0.522 0.685 62880
0.951 0.245 0.298 35904
0.879 0.207 0.256 31712
0.980 0.250 0.314 35808
4.343 1.021 1.690 111072
5.015 1.244 1.904 115744
1.405 0.366 0.442 45440
2.400 0.541 0.943 64640
1.861 0.481 0.602 60656
3.926 0.971 1.499 97520
4.178 1.005 1.438 111712
1.042 0.252 0.315 39936
0.760 0.191 0.246 28864
4.260 1.025 1.518 110784
0.865 0.203 0.266 31680
0.800 0.198 0.250 29536
0.833 0.218 0.271 31776
4.635 1.116 1.759 105632
6.430 0.855 1.954 97600
0.734 0.179 0.233 27584
1.156 0.290 0.362 38144
0.917 0.228 0.282 32832
1.661 0.438 0.533 48288
4.869 1.085 1.983 114256
0.812 0.211 0.268 31744
1.175 0.306 0.371 39968
0.766 0.190 0.239 28192
0.955 0.238 0.303 34016
1.345 0.346 0.437 44800
0.882 0.219 0.278 32912
0.769 0.193 0.239 28480
1.706 0.436 0.558 56464
0.744 0.186 0.239 28320
4.148 1.007 1.429 111712
0.177 0.037 0.045 7744
1.204 0.308 0.410 40000
1.853 0.454 0.705 52320
0.877 0.222 0.268 31712
0.977 0.245 0.316 35840
1.170 0.294 0.378 40032
4.132 0.943 1.610 102256
0.879 0.226 0.278 32640
4.781 1.168 1.760 109792
0.894 0.223 0.273 32128
0.883 0.217 0.262 31744
2.475 0.598 0.941 68736
2.428 0.586 0.912 68736
0.907 0.223 0.292 31712
0.812 0.206 0.260 29984
1.016 0.249 0.325 36000
2.299 0.565 0.797 68800
0.741 0.191 0.242 28640
2.049 0.454 0.800 52224
6.159 1.495 2.366 134432
0.872 0.223 0.274 32096
1.213 0.312 0.400 40672
2.024 0.529 0.683 60544
2.014 0.507 0.664 60576
1.672 0.371 0.661 44032
0.828 0.204 0.261 31712
1.798 0.408 0.740 48160
0.923 0.235 0.286 33920
1.351 0.348 0.451 44096
1.598 0.433 0.555 49088
1.635 0.424 0.544 49088
1.883 0.508 0.629 56384
1.881 0.507 0.636 56384
1.672 0.424 0.552 53200
1.566 0.382 0.502 49152
0.819 0.208 0.255 30112
4.104 1.022 1.469 110368
2.267 0.603 0.757 68112
2.828 0.662 1.086 73536
2.564 0.619 0.982 68736
2.639 0.554 0.953 69536
1.139 0.286 0.382 38064
0.772 0.190 0.244 28192
4.553 1.097 1.739 101472
2.224 0.569 0.725 65760
0.842 0.211 0.262 31744
1.042 0.260 0.329 35840
1.688 0.441 0.572 53232
2.212 0.485 0.850 60640
1.348 0.341 0.447 45536
0.749 0.185 0.236 27584
1.751 0.462 0.569 52320
0.943 0.244 0.314 33184
0.724 0.183 0.241 28192
0.796 0.202 0.251 30144
0.879 0.223 0.290 32128
1.187 0.296 0.380 40736
0.749 0.192 0.240 28384
1.308 0.324 0.464 40832
0.823 0.205 0.259 30112
4.146 1.006 1.439 111712
1.147 0.284 0.361 40032
1.858 0.442 0.699 52352
0.745 0.193 0.244 28512
0.771 0.194 0.243 28384
1.537 0.392 0.484 48128
1.427 0.363 0.447 44224
1.163 0.296 0.392 37728
2.231 0.589 0.755 60800
2.439 0.640 0.825 68704
2.558 0.654 0.867 72864
2.493 0.646 0.868 68704
2.640 0.680 0.953 73824
1.305 0.340 0.417 42272
1.251 0.310 0.383 39904
1.360 0.359 0.427 44000
5.158 1.194 2.018 124736
7.169 1.619 3.022 146688
1.854 0.481 0.598 56352
3.054 0.676 1.244 73984
2.365 0.628 0.789 69680
4.922 1.166 1.937 111984
5.118 1.259 1.849 129376
1.408 0.358 0.422 48128
1.122 0.299 0.380 37120
5.027 1.241 1.832 123936
1.209 0.315 0.396 39872
1.159 0.305 0.376 37632
1.241 0.324 0.400 39968
6.941 1.622 2.927 138400
7.831 0.979 3.196 105792
1.120 0.287 0.368 35776
1.531 0.407 0.510 48128
1.273 0.331 0.414 40832
2.000 0.522 0.671 56448
5.634 1.289 2.303 127248
1.245 0.328 0.403 39936
1.480 0.394 0.478 48160
1.119 0.286 0.368 36288
1.313 0.353 0.423 44096
1.847 0.482 0.613 56384
1.262 0.328 0.406 41008
1.148 0.288 0.368 36576
2.280 0.582 0.770 65936
1.135 0.294 0.362 36416
5.143 1.231 1.851 129376
0.196 0.042 0.049 8088
1.589 0.419 0.524 48288
2.290 0.562 0.852 60512
1.213 0.328 0.396 39904
1.349 0.356 0.434 44032
1.541 0.403 0.512 48512
5.071 1.168 2.002 118224
1.256 0.332 0.414 40576
6.804 1.581 2.837 138560
1.262 0.328 0.411 40224
1.233 0.316 0.387 39936
3.011 0.722 1.172 77632
2.836 0.689 1.048 76928
1.239 0.323 0.419 39904
1.202 0.310 0.387 38080
1.393 0.360 0.442 44192
2.880 0.705 1.032 77056
1.130 0.297 0.374 36736
2.648 0.589 1.002 61216
8.504 1.920 3.694 164992
1.271 0.336 0.416 40416
1.660 0.438 0.541 52224
2.539 0.672 0.891 72864
2.555 0.663 0.889 72864
1.949 0.473 0.750 52224
1.176 0.307 0.390 39904
2.182 0.523 0.852 56352
1.256 0.334 0.412 41696
1.729 0.462 0.554 52288
2.065 0.553 0.680 58016
2.035 0.549 0.673 58016
2.253 0.612 0.750 64576
2.248 0.631 0.750 64576
2.161 0.564 0.702 64720
2.025 0.519 0.687 60544
1.196 0.317 0.387 38304
5.296 1.273 2.041 130848
2.667 0.722 0.911 76176
3.425 0.795 1.366 85248
3.000 0.732 1.165 76928
2.917 0.655 1.020 77536
