Total Decode Datalog Size
10.382 2.321 4.517 219352
10.457 2.341 4.479 219352
11.237 2.373 5.117 227216
6.863 1.569 2.785 172720
7.066 1.611 2.708 176816
8.589 1.904 3.434 197296
6.046 1.318 2.467 152208
10.846 2.232 4.992 218480
6.718 1.568 2.656 168944
6.934 1.555 2.615 173040
7.856 1.722 3.060 185392
5.785 1.273 2.365 148432
12.348 2.641 5.715 239432
6.267 1.423 2.464 160392
7.094 1.600 2.761 168584
7.351 1.633 2.841 172680
6.078 1.407 2.356 156296
10.621 2.294 4.821 218992
6.490 1.510 2.556 168592
6.855 1.553 2.547 172688
8.080 1.804 3.207 193168
5.727 1.286 2.315 148080
10.426 2.216 4.707 212112
6.393 1.489 2.488 164816
6.618 1.518 2.543 168944
7.556 1.672 2.982 181232
5.482 1.233 2.224 144336
11.928 2.618 5.409 231224
5.967 1.401 2.266 156264
6.663 1.547 2.599 160360
6.924 1.582 2.718 164456
5.793 1.361 2.219 148072
26.052 5.349 12.242 474176
19.481 4.147 9.053 367552
20.527 4.294 9.180 388032
31.087 5.786 15.940 482240
16.371 3.440 7.598 318464
24.974 5.313 11.703 454016
18.239 4.012 8.586 365632
20.407 4.140 9.047 385600
27.825 5.350 13.351 466752
15.144 3.232 6.853 306496
29.207 6.347 13.539 506864
17.566 3.599 7.496 342912
22.043 4.577 10.506 371488
24.205 4.548 11.479 379680
17.513 3.552 7.789 322400
